ST,COU,FIPS,AREANAME
00,000,00000,UNITED STATES
01,000,01000,ALABAMA
01,001,01001,"AUTAUGA COUNTY, AL"
01,003,01003,"BALDWIN COUNTY, AL"
01,005,01005,"BARBOUR COUNTY, AL"
01,007,01007,"BIBB COUNTY, AL"
01,009,01009,"BLOUNT COUNTY, AL"
01,011,01011,"BULLOCK COUNTY, AL"
01,013,01013,"BUTLER COUNTY, AL"
01,015,01015,"CALHOUN COUNTY, AL"
01,017,01017,"CHAMBERS COUNTY, AL"
01,019,01019,"CHEROKEE COUNTY, AL"
01,021,01021,"CHILTON COUNTY, AL"
01,023,01023,"CHOCTAW COUNTY, AL"
01,025,01025,"CLARKE COUNTY, AL"
01,027,01027,"CLAY COUNTY, AL"
01,029,01029,"CLEBURNE COUNTY, AL"
01,031,01031,"COFFEE COUNTY, AL"
01,033,01033,"COLBERT COUNTY, AL"
01,035,01035,"CONECUH COUNTY, AL"
01,037,01037,"COOSA COUNTY, AL"
01,039,01039,"COVINGTON COUNTY, AL"
01,041,01041,"CRENSHAW COUNTY, AL"
01,043,01043,"CULLMAN COUNTY, AL"
01,045,01045,"DALE COUNTY, AL"
01,047,01047,"DALLAS COUNTY, AL"
01,049,01049,"DE KALB COUNTY, AL"
01,051,01051,"ELMORE COUNTY, AL"
01,053,01053,"ESCAMBIA COUNTY, AL"
01,055,01055,"ETOWAH COUNTY, AL"
01,057,01057,"FAYETTE COUNTY, AL"
01,059,01059,"FRANKLIN COUNTY, AL"
01,061,01061,"GENEVA COUNTY, AL"
01,063,01063,"GREENE COUNTY, AL"
01,065,01065,"HALE COUNTY, AL"
01,067,01067,"HENRY COUNTY, AL"
01,069,01069,"HOUSTON COUNTY, AL"
01,071,01071,"JACKSON COUNTY, AL"
01,073,01073,"JEFFERSON COUNTY, AL"
01,075,01075,"LAMAR COUNTY, AL"
01,077,01077,"LAUDERDALE COUNTY, AL"
01,079,01079,"LAWRENCE COUNTY, AL"
01,081,01081,"LEE COUNTY, AL"
01,083,01083,"LIMESTONE COUNTY, AL"
01,085,01085,"LOWNDES COUNTY, AL"
